W,N,seed,variant,phi_total,solve_ms,cross_cabin_ratio,cross_layer_ratio,sla,infeas_rate,phi_rep,phi_load,phi_cab,phi_sec
10,200,4,FirstFit,336.8294501434129,1.086041796952486,0.975,0.925,7945.996586516933,0.0,165.32939360830176,103.80696105699094,8.693095478120258,59.0
10,200,4,Random,479.87218076004837,0.6679999642074108,0.745,0.235,13498.073266506866,0.0,139.7593277013722,170.94597127012167,12.866881788554492,156.29999999999998
10,500,0,Ours,1139.5973740119612,5.25074964389205,0.756,0.322,51801.01698307468,0.0,363.54782850268936,378.4208376640779,24.2787078451939,373.34999999999997
10,500,0,NoRep,1105.8117301174143,5.289040971547365,0.76,0.288,33765.5543342756,0.0,362.49558689751336,355.1104499294593,22.555693290441578,365.65
10,500,0,NoPred,1172.105339346042,5.169040989130735,0.236,0.332,54896.0132694783,0.0,362.78332812599444,406.19545059668053,21.726560623367167,381.4
10,500,0,NoCabin,1144.212604243808,5.7013751938939095,0.816,0.324,52329.83869196844,0.0,363.24231599797906,377.6363098917717,27.533978354057293,375.79999999999995
10,500,0,NoSec,1117.0397581267916,5.151125136762857,0.736,0.33,56104.581436610395,0.0,356.85152519271514,376.5576382582798,24.280594675796888,359.35
10,500,0,FlatCCF,711.3474754472952,2.9803747311234474,1.0,1.0,0.0,0.0,424.7790285757716,182.32623794012216,14.042208931401422,90.19999999999999
10,500,0,GreedyByLoad,1256.809542115561,1.047166995704174,0.776,0.358,87841.18202913363,0.0,343.4484648253022,448.9780123540706,38.883064936188276,425.5
10,500,0,FirstFit,754.3715378398795,2.602166961878538,0.99,0.968,6619.574753323049,0.0,420.79454771597557,199.9573726495814,18.56961747432257,115.04999999999998
10,500,0,Random,1148.2210048972993,1.5775831416249275,0.784,0.286,44106.12879598385,0.0,353.2397720985499,382.0040781954394,27.72715460331021,385.25
10,500,1,Ours,1115.1592644697785,5.211499985307455,0.774,0.31,45865.77934837001,0.0,358.7325894015509,359.97651853408945,27.800156534138146,368.65
10,500,1,NoRep,1101.8017240758004,4.979541990906,0.77,0.292,36418.84842687377,0.0,358.3580680013306,350.18881115493417,26.70484491953587,366.54999999999995
10,500,1,NoPred,1165.5051230590161,4.952665884047747,0.236,0.318,47814.18477650684,0.0,358.60178358077707,403.6444909026641,23.408848575574996,379.84999999999997
10,500,1,NoCabin,1118.6205829120843,5.811166018247604,0.824,0.312,47247.156502874874,0.0,358.50084139026296,357.32867096922797,33.441070552593445,369.34999999999997
10,500,1,NoSec,1082.7068554373313,4.788625054061413,0.752,0.308,44835.0505001047,0.0,352.97187298027177,349.93556129641746,26.899421160642326,352.9
10,500,1,FlatCCF,751.4695074987563,2.932666800916195,1.0,1.0,0.0,0.0,423.26395416722016,223.42869048349584,15.076862848040408,89.69999999999999
10,500,1,GreedyByLoad,1223.6437076603856,1.0154582560062408,0.776,0.342,75593.43613093771,0.0,339.98179202088556,432.2183718576381,43.94354378186185,407.49999999999994
10,500,1,FirstFit,786.1413635972591,2.609583083540201,0.984,0.968,7980.497905968903,0.0,419.29584359932574,240.04537728654938,17.150142711383975,109.64999999999999
10,500,1,Random,1166.9262397901969,1.5672077424824238,0.798,0.27,47889.062096920694,0.0,348.1269593307388,397.5303407212951,37.21893973816296,384.04999999999995
10,500,2,Ours,1163.4258369013662,4.947375040501356,0.72,0.328,57132.71826990724,0.0,364.2518152231082,379.61667504080015,28.357346637457972,391.19999999999993
10,500,2,NoRep,1137.4446373054284,5.146208219230175,0.724,0.304,45658.63617077036,0.0,363.8637955895339,367.8049142360891,25.07592747980538,380.7
10,500,2,NoPred,1207.9608980061357,4.929665941745043,0.236,0.336,59625.981588111616,0.0,364.2520451025602,423.3262656589717,23.232587244603643,397.15
10,500,2,NoCabin,1164.576076994465,5.6316666305065155,0.786,0.332,59562.97028063481,0.0,364.70222077341555,378.5380287742947,29.78582744675454,391.54999999999995
10,500,2,NoSec,1137.1641505860405,5.026957951486111,0.736,0.34,61625.06199162766,0.0,358.1519614972279,377.6477716007074,27.664417488105286,373.7
10,500,2,FlatCCF,724.7192898960689,2.971583977341652,1.0,1.0,0.0,0.0,426.780385166091,189.48645207570434,15.452452654273504,92.99999999999999
10,500,2,GreedyByLoad,1269.1069146579541,1.0180422104895115,0.772,0.37,88774.11742248504,0.0,342.7274600448874,451.44849656266274,38.580958050403986,436.34999999999997
10,500,2,FirstFit,764.42256113032,2.612125128507614,0.988,0.97,7896.292442546797,0.0,423.32017326216953,207.32156824217108,20.480819625979358,113.29999999999998
10,500,2,Random,1159.1074587951807,1.5639998018741608,0.786,0.268,41571.729281756445,0.0,356.697436374557,386.4675888260725,26.142433594551306,389.79999999999995
10,500,3,Ours,1099.5684852831494,5.153459031134844,0.666,0.314,47284.399998415494,0.0,363.5805894445368,346.80695616251035,28.33093967610241,360.84999999999997
10,500,3,NoRep,1088.7605721356053,5.0050001591444016,0.674,0.3,39804.66907859096,0.0,361.71165021460337,340.1908226541829,27.758099266818988,359.09999999999997
10,500,3,NoPred,1160.0526610106808,5.092917010188103,0.236,0.336,52732.50381167545,0.0,362.1446074833966,395.9538547350899,27.10419879219435,374.85
10,500,3,NoCabin,1107.120694911915,5.632541142404079,0.8,0.32,49128.19457003556,0.0,363.1229630498821,346.81472864241505,32.13300321961775,365.04999999999995
10,500,3,NoSec,1073.9570388812035,4.945917055010796,0.648,0.322,48159.46114640644,0.0,356.5141502660871,339.1795568879788,28.61333172713769,349.65
10,500,3,FlatCCF,729.6489155474713,3.078834153711796,1.0,1.0,0.0,0.0,424.87499936683514,200.58731285435763,16.686603326278586,87.49999999999997
10,500,3,GreedyByLoad,1232.2389383055329,1.01920822635293,0.804,0.358,78055.41531328764,0.0,343.77583864444966,429.2675057636998,50.74559389738329,408.45
